Profit Ratio,City,Customer ID,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Postal Code,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Quantity ordered new,Region (group),Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State or Province,Unit Price
0.223728814,Addison,2,Janice Fletcher,Corporate,0.01,1,2012-05-28,88525,Not Specified,60101,0.36,Office Supplies,Small Box,Avery 49,Labels,1.32,2,Central,Central,18606,5.9,2012-05-30,Regular Air,0.5,Illinois,2.88
0.350499616,Anacortes,3,Bonnie Potter,Corporate,0.01,1,2010-07-07,88522,High,98221,0.54,Office Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,Pens & Art Supplies,4.56,4,West,West,20847,13.01,2010-07-08,Express Air,0.93,Washington,2.84
-0.954326923,Anacortes,3,Bonnie Potter,Corporate,0.03,1,2011-07-27,88523,Not Specified,98221,0.37,Office Supplies,Small Box,Xerox 1968,Paper,-47.64,7,West,West,23086,49.92,2011-07-28,Express Air,6.15,Washington,6.68
-0.732708934,Anacortes,3,Bonnie Potter,Corporate,0.01,1,2011-07-27,88523,Not Specified,98221,0.56,Office Supplies,Small Pack,Acme® Preferred Stainless Steel Scissors,"Scissors, Rulers and Trimmers",-30.51,7,West,West,23087,41.64,2011-07-28,Regular Air,3.6,Washington,5.68
0.69,Anacortes,3,Bonnie Potter,Corporate,0,1,2011-07-27,88523,Not Specified,98221,0.59,Technology,Small Box,V70,Telephones and Communication,998.2023,8,West,West,23088,1446.67,2011-07-27,Express Air,2.5,Washington,205.99
0.69,Anacortes,3,Bonnie Potter,Corporate,0.09,1,2011-11-09,88524,Medium,98221,0.37,Office Supplies,Small Box,Xerox 194,Paper,1388.0523,37,West,West,23597,2011.67,2011-11-11,Express Air,14.3,Washington,55.48
0.69,Anacortes,3,Bonnie Potter,Corporate,0.08,1,2013-07-01,88526,Low,98221,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,1001.4453,12,West,West,25549,1451.37,2013-07-08,Delivery Truck,26.3,Washington,120.97
0.69,San Gabriel,5,Ronnie Proctor,Home Office,0.02,1,2010-12-13,90193,Not Specified,91776,0.6,Furniture,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,4390.3665,12,West,West,20228,6362.85,2010-12-15,Delivery Truck,26,California,500.98
-1.247328918,San Gabriel,5,Ronnie Proctor,Home Office,0.08,1,2012-05-12,90197,Low,91776,0.36,Office Supplies,Small Box,Xerox 1930,Paper,-141.26,18,West,West,19483,113.25,2012-05-21,Regular Air,6.81,California,6.48
0.69,San Jose,6,Dwight Hwang,Home Office,0.01,1,2011-05-26,90194,High,95123,0.56,Office Supplies,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,Appliances,1045.4673,16,West,West,24782,1515.17,2011-05-26,Regular Air,0.99,California,90.24
-0.484445998,San Jose,6,Dwight Hwang,Home Office,0.07,1,2012-12-29,90200,Critical,95123,0.37,Office Supplies,Small Box,Xerox 21,Paper,-13.86,4,West,West,24563,28.61,2012-12-31,Regular Air,6.6,California,6.48
0.69,San Jose,6,Dwight Hwang,Home Office,0.01,1,2012-12-29,90200,Critical,95123,0.52,Office Supplies,Wrap Bag,*Staples* Highlighting Markers,Pens & Art Supplies,57.5805,17,West,West,24564,83.45,2012-12-31,Regular Air,0.71,California,4.84
